Age,Height,Weight,IQ,Ability to fight,Weapons?,Vehicles?,Food amount,Survival %
22,1.91,76.81,89,1,0,1,39.86,81.27
28,1.8,70.68,82,1,1,0,341.82,77.14
58,1.9,53.4,158,1,1,0,140.14,46.47
37,1.65,60.2,87,1,0,0,306.02,67.02
51,1.62,111.74,108,1,2,2,124.37,56.66
69,1.94,83.2,110,1,2,1,218.24,38.46
58,1.81,68.16,104,2,0,3,225.4,53.01
44,1.62,118.94,119,0,1,3,212.57,64.67
20,1.77,110.02,128,1,1,0,218.03,84.73
18,1.74,88.9,140,1,2,3,68.3,89.82
27,1.58,53.28,85,2,1,1,293.28,80.96
73,1.8,75.09,131,3,1,3,287.76,44.67
45,1.87,62.24,136,1,0,3,108.27,60.89
27,1.86,54.54,147,2,1,1,354.7,81.37
30,1.65,108.23,98,1,2,3,178.58,80.76
34,1.83,61.09,134,2,2,0,139.15,74.46
55,1.92,50.68,147,1,2,0,296.3,51.99
57,1.8,86.93,111,3,0,1,354.98,54.37
40,1.94,91.32,129,1,2,2,268.6,69.58
38,1.5,65.5,102,0,2,1,190.34,68.27
22,1.66,53.51,104,1,1,1,314.81,84.1
27,1.54,79.33,124,1,2,1,178.04,80.19
55,1.57,82.73,97,0,2,1,128.31,50.86
39,1.76,84.65,100,3,2,2,24.1,73.32
64,1.55,68.31,127,1,2,2,221.22,44.95
60,1.68,111.79,108,3,0,0,199.96,49.67
22,1.68,85.9,128,2,0,3,269.15,90.18
44,1.74,86.17,84,1,2,3,354.49,71.45
32,1.51,115.22,139,2,0,1,317.36,75.12
75,1.68,93.09,142,1,1,0,355.6,30.19
69,1.97,60.72,124,2,2,1,265.59,40.77
79,1.57,96.33,91,1,2,3,41.56,28.11
71,1.79,53.1,150,3,1,0,337.49,40.13
46,1.96,93.2,125,2,1,1,140.28,60.94
67,1.85,81.04,121,1,2,3,341.85,48.12
68,1.84,93.17,104,2,1,1,128.03,38.85
58,1.52,87.25,148,3,0,2,38.62,51.52
68,1.52,75.43,152,1,0,0,97.31,35.32
31,1.65,93.49,145,0,2,2,316.33,78.22
42,1.63,105.35,126,0,0,0,189.82,60.63
33,1.84,54.88,85,3,1,3,147.0,80.92
71,1.65,67.63,139,3,0,2,76.93,39.03
70,1.94,65.06,109,2,0,2,124.99,36.67
74,1.92,54.32,149,0,2,1,35.55,31.24
34,1.58,80.75,152,3,0,2,106.23,76.42
74,1.58,61.24,108,1,1,1,317.28,32.12
30,1.55,83.72,130,3,0,0,150.63,79.5
76,1.92,67.98,106,1,0,2,68.6,27.92
31,1.85,116.9,140,1,0,3,77.69,74.07
59,1.83,100.35,141,1,1,1,287.09,46.91
62,1.95,102.68,139,3,2,1,228.06,51.52
74,1.71,110.77,98,0,1,3,103.93,31.77
53,1.84,83.68,92,0,2,0,211.46,52.71
36,1.91,78.14,157,1,0,3,77.4,69.06
45,1.51,62.61,126,1,2,2,85.44,62.14
61,1.97,112.34,94,3,0,0,261.04,48.87
68,1.52,115.8,149,0,1,2,137.58,36.83
34,1.95,71.94,122,2,2,3,316.88,82.45
79,1.6,84.56,83,0,2,0,136.99,26.46
65,1.94,96.92,127,1,1,3,292.4,46.8
77,1.55,84.72,153,0,0,0,12.96,25.04
57,1.77,50.68,107,1,2,0,108.94,49.36
77,1.67,92.9,110,1,1,0,286.9,27.96
48,1.58,105.93,132,2,1,1,288.67,59.92
45,1.96,99.22,114,3,2,2,270.38,70.61
39,1.91,67.22,113,3,2,0,295.1,73.98
32,1.7,94.02,107,3,1,1,8.74,78.06
36,1.99,104.72,90,1,0,0,131.13,67.44
52,1.74,106.94,133,0,0,3,162.51,54.33
24,1.55,81.88,131,2,0,0,15.06,81.05
64,1.71,75.75,143,0,2,2,182.21,43.43
26,1.99,73.48,149,0,2,3,22.83,79.61
32,1.74,84.28,120,3,1,0,118.26,78.39
62,1.81,98.6,109,1,2,1,328.71,46.19
78,1.73,105.58,139,3,1,3,355.79,41.49
32,1.65,79.54,144,0,0,1,211.65,71.41
31,1.92,94.66,100,3,2,3,288.44,88.69
22,1.93,109.5,101,0,1,0,184.33,81.61
43,1.97,115.07,147,0,2,0,44.26,62.15
